#Wavelength,	QER1,	QEG1,	QEB1,	QER2,	QEG2,	QEB2,	Scout,	Telescope,	total 
6.900000000000000000e+02 1.950000000000000067e-01 3.699999999999999817e-02 8.000000000000000167e-03 1.900000000000000022e-01 5.700000000000000205e-02 2.800000000000000058e-02 9.918560028000000806e-01 7.809000000000000385e-01 2.129985969612930297e-01
6.950000000000000000e+02 1.920000000000000040e-01 4.299999999999999656e-02 8.000000000000000167e-03 1.859999999999999987e-01 6.099999999999999867e-02 2.800000000000000058e-02 9.579743195000000044e-01 7.800000000000000266e-01 2.054854915327500031e-01
7.000000000000000000e+02 1.890000000000000013e-01 4.900000000000000189e-02 8.000000000000000167e-03 1.819999999999999951e-01 6.600000000000000311e-02 2.800000000000000058e-02 2.762521743999999946e-01 7.791000000000000147e-01 5.940294706471103969e-02
7.050000000000000000e+02 1.849999999999999978e-01 5.299999999999999850e-02 8.000000000000000167e-03 1.769999999999999907e-01 6.900000000000000577e-02 2.699999999999999969e-02 1.533467292999999947e-02 7.778800000000000159e-01 3.256490158409233553e-03
7.100000000000000000e+02 1.779999999999999916e-01 5.500000000000000028e-02 7.000000000000000146e-03 1.719999999999999862e-01 7.000000000000000666e-02 2.500000000000000139e-02 1.263105570999999930e-03 7.766600000000000170e-01 2.619279539303536147e-04
7.150000000000000000e+02 1.729999999999999871e-01 5.500000000000000028e-02 6.000000000000000125e-03 1.680000000000000104e-01 7.000000000000000666e-02 2.299999999999999961e-02 1.793338917000000246e-04 7.754400000000000182e-01 3.629535764774033900e-05
7.200000000000000000e+02 1.700000000000000122e-01 5.299999999999999850e-02 5.000000000000000104e-03 1.660000000000000087e-01 6.800000000000000488e-02 2.000000000000000042e-02 1.619782763999999878e-05 7.742200000000000193e-01 3.185333257321963217e-06
7.250000000000000000e+02 1.660000000000000087e-01 5.000000000000000278e-02 4.000000000000000083e-03 1.620000000000000051e-01 6.400000000000000133e-02 1.799999999999999864e-02 9.775155921999999160e-06 7.730000000000000204e-01 1.843711708760263672e-06
7.300000000000000000e+02 1.600000000000000033e-01 4.800000000000000100e-02 4.000000000000000083e-03 1.549999999999999989e-01 6.199999999999999956e-02 1.600000000000000033e-02 2.910477050999999784e-06 7.717800000000000216e-01 5.233757789720416195e-07
7.350000000000000000e+02 1.529999999999999971e-01 4.800000000000000100e-02 3.000000000000000062e-03 1.489999999999999936e-01 6.099999999999999867e-02 1.499999999999999944e-02 1.488089620000000031e-06 7.705600000000000227e-01 2.579990259571199841e-07
7.400000000000000000e+02 1.469999999999999918e-01 5.000000000000000278e-02 3.000000000000000062e-03 1.449999999999999900e-01 6.300000000000000044e-02 1.400000000000000029e-02 1.799999999999999905e-08 7.693400000000000238e-01 3.074282640000000032e-09
7.450000000000000000e+02 1.429999999999999882e-01 5.299999999999999850e-02 3.000000000000000062e-03 1.409999999999999865e-01 6.600000000000000311e-02 1.299999999999999940e-02 -1.303353696000000005e-05 7.681200000000000250e-01 -2.202490490137343959e-06
7.500000000000000000e+02 1.400000000000000133e-01 5.600000000000000117e-02 3.000000000000000062e-03 1.380000000000000115e-01 6.900000000000000577e-02 1.299999999999999940e-02 1.110593438999999944e-05 7.669000000000000261e-01 1.873771038412020261e-06
7.550000000000000000e+02 1.380000000000000115e-01 5.999999999999999778e-02 3.000000000000000062e-03 1.330000000000000071e-01 7.099999999999999367e-02 1.200000000000000025e-02 -1.433967961999999945e-05 7.655399999999999983e-01 -2.371161240639677015e-06
7.600000000000000000e+02 1.340000000000000080e-01 6.199999999999999956e-02 3.000000000000000062e-03 1.290000000000000036e-01 7.299999999999999545e-02 1.200000000000000025e-02 1.445339148999999981e-06 7.641799999999999704e-01 2.363628439689234996e-07
7.650000000000000000e+02 1.280000000000000027e-01 6.400000000000000133e-02 3.000000000000000062e-03 1.239999999999999991e-01 7.299999999999999545e-02 1.200000000000000025e-02 1.456966856000000033e-06 7.628200000000000536e-01 2.322833225326293450e-07
7.700000000000000000e+02 1.239999999999999991e-01 6.600000000000000311e-02 4.000000000000000083e-03 1.209999999999999964e-01 7.399999999999999634e-02 1.299999999999999940e-02 -2.980755526000000146e-06 7.614600000000000257e-01 -4.721030293882157683e-07
7.750000000000000000e+02 1.179999999999999938e-01 6.800000000000000488e-02 5.000000000000000104e-03 1.160000000000000059e-01 7.399999999999999634e-02 1.600000000000000033e-02 2.897739468999999721e-06 7.600999999999999979e-01 4.537297846997013974e-07
7.800000000000000000e+02 1.140000000000000041e-01 7.099999999999999367e-02 8.000000000000000167e-03 1.110000000000000014e-01 7.299999999999999545e-02 2.100000000000000130e-02 2.982408040999999864e-06 7.587399999999999700e-01 4.638888167908096530e-07
7.850000000000000000e+02 1.100000000000000006e-01 7.299999999999999545e-02 1.400000000000000029e-02 1.059999999999999970e-01 7.199999999999999456e-02 2.800000000000000058e-02 1.448713591999999961e-06 7.573799999999999422e-01 2.260287002636457171e-07
7.900000000000000000e+02 1.059999999999999970e-01 7.499999999999999722e-02 2.400000000000000050e-02 1.019999999999999934e-01 7.199999999999999456e-02 3.899999999999999994e-02 1.447167888000000076e-06 7.560199999999999143e-01 2.330407156040668673e-07
